unix,date,symbol,open,high,low,close,Volume XRP,Volume USD
1545782400,2018-12-26,XRP/USD,0.3909,0.4017,0.371,0.3905,793364.7796,309808.9465
1545696000,2018-12-25,XRP/USD,0.408,0.4114,0.3726,0.3908,1187261.708,463981.8755
1545609600,2018-12-24,XRP/USD,0.373,0.455,0.373,0.4117,2687156.41,1106302.294
1545523200,2018-12-23,XRP/USD,0.364,0.3844,0.361,0.371,586445.8841,217571.423
1545436800,2018-12-22,XRP/USD,0.358,0.3665,0.35,0.3635,398030.6752,144684.1504
1545350400,2018-12-21,XRP/USD,0.3798,0.3859,0.3512,0.3602,1111680.756,400427.4083
1545264000,2018-12-20,XRP/USD,0.3499,0.3919,0.3446,0.38,1024775.267,389414.6013
1545177600,2018-12-19,XRP/USD,0.3509,0.4039,0.3441,0.3499,1671238.547,584766.3677
1545091200,2018-12-18,XRP/USD,0.3294,0.35,0.3246,0.35,800175.11,280061.2885
1545004800,2018-12-17,XRP/USD,0.2929,0.3399,0.2882,0.3289,1163016.255,382516.0464
1544918400,2018-12-16,XRP/USD,0.289,0.3,0.2875,0.293,331617.7108,97163.98925
1544832000,2018-12-15,XRP/USD,0.2903,0.2935,0.2816,0.289,480474.6007,138857.1596
1544745600,2018-12-14,XRP/USD,0.3014,0.3044,0.2851,0.29,681105.0358,197520.4604
1544659200,2018-12-13,XRP/USD,0.3078,0.3095,0.298,0.3,521752.0595,156525.6179
1544572800,2018-12-12,XRP/USD,0.3015,0.3135,0.3001,0.3057,730726.3222,223383.0367
1544486400,2018-12-11,XRP/USD,0.3,0.3147,0.2976,0.3016,755542.6703,227871.6694
1544400000,2018-12-10,XRP/USD,0.3114,0.3155,0.2972,0.3042,829995.8317,252484.732
1544313600,2018-12-09,XRP/USD,0.3052,0.3209,0.3025,0.3122,1002126.44,312863.8745
1544227200,2018-12-08,XRP/USD,0.309,0.328,0.2963,0.3069,1285617.118,394555.8934
1544140800,2018-12-07,XRP/USD,0.3111,0.3173,0.2929,0.3031,2632175.373,797812.3554
1544054400,2018-12-06,XRP/USD,0.3408,0.3475,0.3096,0.3102,1343988.788,416905.3221
1543968000,2018-12-05,XRP/USD,0.3499,0.354,0.3408,0.3409,692286.8217,236000.5775
1543881600,2018-12-04,XRP/USD,0.3485,0.3616,0.34,0.3499,674511.7747,236011.67
1543795200,2018-12-03,XRP/USD,0.3688,0.3689,0.3465,0.3485,1051480.456,366440.939
1543708800,2018-12-02,XRP/USD,0.3727,0.378,0.364,0.3685,628414.3031,231570.6707
1543622400,2018-12-01,XRP/USD,0.3619,0.38,0.3568,0.3725,561445.5453,209138.4656
1543536000,2018-11-30,XRP/USD,0.3794,0.3848,0.355,0.3633,1198672.102,435477.5748
1543449600,2018-11-29,XRP/USD,0.3901,0.3993,0.3711,0.3788,991401.9223,375543.0482
1543363200,2018-11-28,XRP/USD,0.3629,0.4049,0.3618,0.3902,1741634.56,679585.8053
1543276800,2018-11-27,XRP/USD,0.36,0.3795,0.345,0.3612,1133491.01,409416.9529
1543190400,2018-11-26,XRP/USD,0.3813,0.395,0.3456,0.3613,1942454.267,701808.7268
1543104000,2018-11-25,XRP/USD,0.373,0.3976,0.3243,0.3816,4004299.241,1528040.591
1543017600,2018-11-24,XRP/USD,0.4101,0.4212,0.3632,0.373,1414987.161,527790.211
1542931200,2018-11-23,XRP/USD,0.425,0.4307,0.3994,0.4101,1275979.286,523279.1052
1542844800,2018-11-22,XRP/USD,0.4543,0.4553,0.426,0.426,820537.4194,349548.9407
1542758400,2018-11-21,XRP/USD,0.4371,0.4689,0.41,0.4513,1683469.947,759749.987
1542672000,2018-11-20,XRP/USD,0.4755,0.4965,0.415,0.4386,3063367.786,1343593.111
1542585600,2018-11-19,XRP/USD,0.5114,0.5114,0.47,0.4746,1944212.407,922723.2083
1542499200,2018-11-18,XRP/USD,0.4944,0.525,0.4913,0.5113,1077183.832,550764.0935
1542412800,2018-11-17,XRP/USD,0.4779,0.5015,0.4707,0.4933,662599.1834,326860.1771
1542326400,2018-11-16,XRP/USD,0.4873,0.495,0.4679,0.4766,983278.0327,468630.3104
1542240000,2018-11-15,XRP/USD,0.475,0.495,0.43,0.4874,2009323.684,979344.3635
1542153600,2018-11-14,XRP/USD,0.5073,0.5142,0.4252,0.475,3388819.533,1609689.278
1542067200,2018-11-13,XRP/USD,0.5157,0.5234,0.5,0.5098,719901.6049,367005.8382
