unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1531267200,2018-07-11,BTC/USD,6329.4,6424.9,6300,6382.1,218.2700387,1393021.214
1531180800,2018-07-10,BTC/USD,6641.3,6662.7,6315.3,6330,314.8943255,1993281.08
1531094400,2018-07-09,BTC/USD,6677,6750,6611.3,6641.2,158.0372466,1049556.962
1531008000,2018-07-08,BTC/USD,6715,6773.6,6677,6692.9,201.1457928,1346248.677
1530921600,2018-07-07,BTC/USD,6613.3,6741.8,6531.1,6712.2,178.7991007,1200135.324
1530835200,2018-07-06,BTC/USD,6550.7,6657.4,6460.2,6593.5,233.4176312,1539039.151
1530748800,2018-07-05,BTC/USD,6570,6690,6465,6563.9,247.2840115,1623147.523
1530662400,2018-07-04,BTC/USD,6506.2,6741.7,6447,6562,304.4040136,1997499.137
1530576000,2018-07-03,BTC/USD,6651.5,6672.8,6478,6506.1,294.0401783,1913054.804
1530489600,2018-07-02,BTC/USD,6368.9,6683.8,6306.9,6651.5,407.8580763,2712867.994
1530403200,2018-07-01,BTC/USD,6412.1,6448.2,6263.7,6366.5,156.8821366,998790.1229
1530316800,2018-06-30,BTC/USD,6241.9,6462.2,6224.5,6407.3,391.3111676,2507248.044
1530230400,2018-06-29,BTC/USD,5951.7,6339,5880,6242,431.9529848,2696250.531
1530144000,2018-06-28,BTC/USD,6199.8,6224,5920.1,5946.4,260.2279362,1547419.4
1530057600,2018-06-27,BTC/USD,6144.6,6225,6099.4,6199.8,254.1796599,1575863.056
1529971200,2018-06-26,BTC/USD,6308.4,6347.5,6126.1,6126.1,271.1563104,1661130.673
1529884800,2018-06-25,BTC/USD,6239.1,6418.7,6152.9,6317.9,485.3018466,3066088.536
1529798400,2018-06-24,BTC/USD,6192.1,6335.7,5830.8,6224.4,759.518309,4727545.762
1529712000,2018-06-23,BTC/USD,6142.9,6289,6100,6211.7,257.7412,1601011.012
1529625600,2018-06-22,BTC/USD,6738.5,6739.9,6031.1,6162.1,794.2967761,4894536.164
1529539200,2018-06-21,BTC/USD,6749.8,6791.7,6701,6737.6,140.5521142,946983.9243
1529452800,2018-06-20,BTC/USD,6767.1,6820,6600,6749.9,295.7629423,1996370.284
1529366400,2018-06-19,BTC/USD,6750.5,6892,6686.9,6767.8,248.6799764,1683016.344
1529280000,2018-06-18,BTC/USD,6559.2,6805.7,6483,6750.4,473.9539415,3199378.687
1529193600,2018-06-17,BTC/USD,6562.2,6644.6,6494.9,6558.9,168.2270128,1103384.155
1529107200,2018-06-16,BTC/USD,6480,6671,6430.1,6584.1,196.6380465,1294684.562
1529020800,2018-06-15,BTC/USD,6722.4,6730,6455.1,6470.1,331.664641,2145903.394
1528934400,2018-06-14,BTC/USD,6408.2,6789,6408.2,6719.9,471.2947527,3167053.609
1528848000,2018-06-13,BTC/USD,6678.2,6777,6305,6414.2,603.8558517,3873252.204
1528761600,2018-06-12,BTC/USD,6963.7,6980,6602.8,6663,547.4415124,3647602.797
1528675200,2018-06-11,BTC/USD,6933.5,6980,6783,6963.9,573.4271063,3993289.025
1528588800,2018-06-10,BTC/USD,7550,7550,6801,6907.1,1096.089503,7570799.806
1528502400,2018-06-09,BTC/USD,7649,7688.1,7518.4,7543.5,166.4856982,1255884.865
1528416000,2018-06-08,BTC/USD,7688.5,7700,7550,7649.1,211.6341697,1618810.927
1528329600,2018-06-07,BTC/USD,7654.8,7750,7654.8,7688.4,229.8552915,1767219.423
1528243200,2018-06-06,BTC/USD,7638.4,7699,7515,7654.7,359.2191008,2749714.451
1528156800,2018-06-05,BTC/USD,7572.9,7700,7435.1,7636.6,424.3752941,3240784.371
1528070400,2018-06-04,BTC/USD,7716.8,7757.9,7500,7578.5,424.941192,3220416.823
1527984000,2018-06-03,BTC/USD,7663,7779.8,7650,7717,359.3780947,2773320.756
1527897600,2018-06-02,BTC/USD,7577.5,7753.7,7525,7682.6,233.7997484,1796189.947
1527811200,2018-06-01,BTC/USD,7549.9,7721.8,7400,7586.4,370.7161944,2812401.337
1527724800,2018-05-31,BTC/USD,7436.5,7668.8,7400.6,7534.7,363.9860286,2742525.53
1527638400,2018-05-30,BTC/USD,7545,7643.6,7321.9,7436.4,316.7803096,2355705.094
1527552000,2018-05-29,BTC/USD,7211.5,7595,7156,7544.9,544.5590793,4108643.798
1527465600,2018-05-28,BTC/USD,7472.5,7541.1,7168.1,7209.7,668.8052226,4821885.013
1527379200,2018-05-27,BTC/USD,7457.7,7497.8,7348,7472.8,312.1647149,2332744.482
1527292800,2018-05-26,BTC/USD,7570,7725.2,7400,7454.2,257.5775629,1920034.669
1527206400,2018-05-25,BTC/USD,7645.9,7700.6,7451.1,7557.7,470.3068989,3554438.45
1527120000,2018-05-24,BTC/USD,7644.7,7872.8,7376.2,7646.6,775.4229213,5929348.91
1527033600,2018-05-23,BTC/USD,8096,8140.4,7587,7644.7,761.7368999,5823250.079
1526947200,2018-05-22,BTC/USD,8474.9,8500,8069.4,8094.3,399.2621466,3231747.593
1526860800,2018-05-21,BTC/USD,8619.9,8710.7,8381.6,8487,382.626627,3247352.184
